day,month,year,flow,hyear,baseflow,Date
19,6,1961,312,1961,239.23809523809524,1961-06-19
20,6,1961,287,1961,236.33333333333334,1961-06-20
21,6,1961,269,1961,233.42857142857144,1961-06-21
22,6,1961,331,1961,230.52380952380952,1961-06-22
23,6,1961,331,1961,227.61904761904762,1961-06-23
24,6,1961,304,1961,224.71428571428572,1961-06-24
25,6,1961,277,1961,221.8095238095238,1961-06-25
26,6,1961,236,1961,218.9047619047619,1961-06-26
27,6,1961,216,1961,216,1961-06-27
28,6,1961,218,1961,212.6,1961-06-28
29,6,1961,243,1961,209.2,1961-06-29
30,6,1961,238,1961,205.8,1961-06-30
1,7,1961,226,1961,202.4,1961-07-01
2,7,1961,216,1961,199,1961-07-02
3,7,1961,209,1961,195.6,1961-07-03
4,7,1961,192,1961,192,1961-07-04
5,7,1961,185,1961,185,1961-07-05
6,7,1961,331,1961,185.4,1961-07-06
7,7,1961,315,1961,182,1961-07-07
8,7,1961,241,1961,178.6,1961-07-08
9,7,1961,216,1961,175.2,1961-07-09
10,7,1961,176,1961,171.8,1961-07-10
11,7,1961,170,1961,168.4,1961-07-11
12,7,1961,165,1961,165,1961-07-12
13,7,1961,165,1961,165,1961-07-13
14,7,1961,188,1961,175.75,1961-07-14
15,7,1961,253,1961,181.125,1961-07-15
